id,provider,transactionHash,tokenBefore,tokenAfter,amountRaw,amountWETHAfter,conversionRate,reason
"0x7260b21fe1d94eb5cfcd73e56ac3d1e9d7dcb767baf56c05d3ae182482584750-18-0","0x69b235c1c3f16f828b2394193a7abea79ee40c07","0x7260b21fe1d94eb5cfcd73e56ac3d1e9d7dcb767baf56c05d3ae182482584750","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","5373576803822531","0.005373576803822531","1.00000","swapped-token"
"0x9fe30765bba72c9728ff74cec3b949fdfbf0303058abcb40c0b392084e2214cf-36-0","0x7a2497ad6e4eba70089c375455fd4cf19d580ce1","0x9fe30765bba72c9728ff74cec3b949fdfbf0303058abcb40c0b392084e2214cf","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","9900000000000000","0.0099","1.00000","swapped-token"
"0x9fe30765bba72c9728ff74cec3b949fdfbf0303058abcb40c0b392084e2214cf-36-1","0x7a2497ad6e4eba70089c375455fd4cf19d580ce1","0x9fe30765bba72c9728ff74cec3b949fdfbf0303058abcb40c0b392084e2214cf","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","3393714938008634","0.0041433000536035402498","1.2208745075197","conversion-applied"
"0xc4f55be3eca4925eb84e42d94ac9dad23bdec16243b315a58d5eb94fd46c5b05-45-2","0x1b648ade1ef219c87987cd60eba069a7faf1621f","0xc4f55be3eca4925eb84e42d94ac9dad23bdec16243b315a58d5eb94fd46c5b05","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","0xa3d68b74bf0528fdd07263c60d6488749044914b","5600000000000000","0.006064464","1.0829400000000","swapped-token"
"0xad3c6866299e5bff919ab8e6bc50c05e0a94e42fd75466fb809e959d5fc3905b-3-2","0xc20e318fe1830de929bb8ee57f6209a89f0ab00f","0xad3c6866299e5bff919ab8e6bc50c05e0a94e42fd75466fb809e959d5fc3905b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","0xa3d68b74bf0528fdd07263c60d6488749044914b","5000000000000000","0.0054147","1.0829400000000","swapped-token"
"0xa0a2c143fd302d636062dc59f0cc682fac58113893291eb920211a2f59b56682-6-0","0x1b648ade1ef219c87987cd60eba069a7faf1621f","0xa0a2c143fd302d636062dc59f0cc682fac58113893291eb920211a2f59b56682","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","20000000000000000","0.02","1.00000","swapped-token"
"0xa0a2c143fd302d636062dc59f0cc682fac58113893291eb920211a2f59b56682-6-1","0x1b648ade1ef219c87987cd60eba069a7faf1621f","0xa0a2c143fd302d636062dc59f0cc682fac58113893291eb920211a2f59b56682","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","16393970948949310","0.020014981208590757716","1.2208745075197","conversion-applied"
"0xa0a2c143fd302d636062dc59f0cc682fac58113893291eb920211a2f59b56682-6-2","0x1b648ade1ef219c87987cd60eba069a7faf1621f","0xa0a2c143fd302d636062dc59f0cc682fac58113893291eb920211a2f59b56682","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","0xa3d68b74bf0528fdd07263c60d6488749044914b","20000000000000000","0.0216588","1.0829400000000","swapped-token"
"0xd2d527727559b32d0e5a66a669fd225311c0d51d7986d5bc62ef1b59bb932f82-27-0","0x3ce020839bca572d67fbf2029aa0b7bf43744122","0xd2d527727559b32d0e5a66a669fd225311c0d51d7986d5bc62ef1b59bb932f82","0xa3d68b74bf0528fdd07263c60d6488749044914b","0xee8c0e9f1bffb4eb878d8f15f368a02a35481242","9020327776975875","0.009020327776975875","1.00000","swapped-token"
"0xd2d527727559b32d0e5a66a669fd225311c0d51d7986d5bc62ef1b59bb932f82-27-1","0x3ce020839bca572d67fbf2029aa0b7bf43744122","0xd2d527727559b32d0e5a66a669fd225311c0d51d7986d5bc62ef1b59bb932f82","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","0x10aeaf63194db8d453d4d85a06e5efe1dd0b5417","4436651251343501","0.0054165944115206575264","1.2208745075197","conversion-applied"
